order,col1,col2
2704,IOPC 04190020,
2705,"Coral and similar, shells of molluscs; natural animal sponges; algae, fresh or dried",
2709,"0401 Fishing, hunting and trapping",6
2727,IOPC 04190030,
2728,Freshwater fish and aquatic animals nec,
2732,"0401 Fishing, hunting and trapping",12
2751,IOPC 04200010,
2752,"Skins and pieces, raw",
2756,"0401 Fishing, hunting and trapping",35
2773,IOPC 04200020,
2774,Wildlife culling services,
2778,"0401 Fishing, hunting and trapping",12
2798,IOPC 04200030,
2799,Hunting and trapping products nec,
2803,"0401 Fishing, hunting and trapping",12
2823,IOPC 04201980,
2824,General government consumption of fixed capital (0411-0420),
2828,"0401 Fishing, hunting and trapping",23
2844,IOPC 05100010,
2845,Services to forestry nec,
2849,"0501 Agriculture, Forestry and Fishing Support Services","1,107"
2873,IOPC 05210010,
2874,"Cotton (ginned); cotton seed, waste from cotton and cotton ginning services",
2878,"0501 Agriculture, Forestry and Fishing Support Services",889
2896,IOPC 05220010,
2897,Sheep shearing services,
2901,"0501 Agriculture, Forestry and Fishing Support Services",394
2918,IOPC 05290010,
2919,Aerial agricultural services,
2923,"0501 Agriculture, Forestry and Fishing Support Services",225
2942,IOPC 05290020,
2943,Services to agriculture nec,
2947,"0101 Sheep, Grains, Beef and Dairy Cattle",294
2948,0102 Poultry and Other Livestock,39
2949,0103 Other Agriculture,116
2950,"0501 Agriculture, Forestry and Fishing Support Services","3,135"
2973,IOPC 05290030,
2974,Services to fishing nec,
2978,"0501 Agriculture, Forestry and Fishing Support Services",372
2997,IOPC 05290040,
2998,Wool classing services,
3002,"0501 Agriculture, Forestry and Fishing Support Services",43
3003,3301 Wholesale Trade,45
3020,IOPC 05291980,
3021,General government consumption of fixed capital (0510-0529),
3025,"0501 Agriculture, Forestry and Fishing Support Services",44
3041,IOPC 06000010,
3042,Black coal,
3046,0601 Coal mining,n.p.
3081,IOPC 06000020,
3082,Brown coal-lignite,
3086,0601 Coal mining,n.p.
3109,IOPC 07000010,
3110,Crude oil (incl. condensate),
3114,0701 Oil and gas extraction,"14,084"
3132,IOPC 07000020,
3133,Liquefied natural gas,
3137,0701 Oil and gas extraction,"6,563"
3155,IOPC 07000030,
3156,Natural gas (in the gaseous state),
3160,0701 Oil and gas extraction,n.p.
3262,IOPC 07000041,
3263,Liquefied petroleum gas from the well head,
3267,0701 Oil and gas extraction,n.p.
3362,IOPC 07000050,
3363,Coal seam gas,
3367,0701 Oil and gas extraction,n.p.
3439,IOPC 07000060,
3440,Other naturally occurring gases,
3460,IOPC 08010010,
3461,Iron ore (incl treatment; excl pelletising),
3465,0801 Iron Ore Mining,n.p.
3491,IOPC 08010020,
3492,Agglomerated iron ores nec (incl iron ore pellets and sintered ores),
3496,0801 Iron Ore Mining,n.p.
3519,IOPC 08020010,
3520,Bauxite,
3524,0802 Non Ferrous Metal Ore Mining,n.p.
3547,IOPC 08030010,
3548,"Copper concentrates, oxides and ores",
3552,0802 Non Ferrous Metal Ore Mining,"7,107"
3573,IOPC 08040010,
3574,Gold bullion and ores,
3578,0802 Non Ferrous Metal Ore Mining,"9,472"
3596,IOPC 08050010,
3597,"Beneficiated ilmenite, ilmenite and leucoxene concentrates",
3601,0802 Non Ferrous Metal Ore Mining,n.p.
3622,IOPC 08050020,
3623,Rutile concentrates,
3627,0802 Non Ferrous Metal Ore Mining,n.p.
3646,IOPC 08050030,
3647,"Monazite, xenotime and zircon concentrates; mineral sand ores nec",
3651,0802 Non Ferrous Metal Ore Mining,556
3673,IOPC 08060010,
3674,Nickel ores and concentrates,
3678,0802 Non Ferrous Metal Ore Mining,"3,387"
3700,IOPC 08070010,
3701,Lead ores and concentrates (excl silver-lead-zinc ores),
3705,0802 Non Ferrous Metal Ore Mining,"1,710"
3727,IOPC 08070020,
3728,Silver and zinc ores,
3732,0802 Non Ferrous Metal Ore Mining,"2,034"
3757,IOPC 08090010,
3758,"Tin, tin-copper and tin-tantalite concentrates",
3762,0802 Non Ferrous Metal Ore Mining,153
3783,IOPC 08090020,
3784,Uranium concentrates,
3788,0802 Non Ferrous Metal Ore Mining,n.p.
3804,IOPC 08090030,
3805,Manganese ores,
3809,0802 Non Ferrous Metal Ore Mining,"2,002"
3833,IOPC 08090040,
3834,Non-ferrous metallic ores and concentrates nec (incl tungsten),
3838,0802 Non Ferrous Metal Ore Mining,352
3865,IOPC 09110010,
3866,Gravel,
3870,0901 Non Metallic Mineral Mining,445
3895,IOPC 09110020,
3896,Sand,
3900,0901 Non Metallic Mineral Mining,402
3935,IOPC 09190010,
3936,Dimension stone,
3940,0901 Non Metallic Mineral Mining,n.p.
3961,IOPC 09190020,
3962,"Pebbles, broken or crushed stone, macadam; tarred macadam; granules, chippings and powder of stone",
3966,0901 Non Metallic Mineral Mining,"1,120"
4014,IOPC 09190030,
4015,Limestone (incl shell and coral),
4019,0901 Non Metallic Mineral Mining,n.p.
4042,IOPC 09190040,
4043,"Clays nec (incl brick, pipe, tile and shale)",
4047,0901 Non Metallic Mineral Mining,n.p.
4069,IOPC 09190050,
4070,"Construction materials (mined) nec (incl decomposed rock, residues, etc) (excl crushed and broken stone and dimension stone)",
4074,0901 Non Metallic Mineral Mining,91
4104,IOPC 09900010,
4105,Salt,
4109,0901 Non Metallic Mineral Mining,274
4127,IOPC 09900020,
4128,Precious and semi-precious gemstones (incl garnet concentrate),
4132,0901 Non Metallic Mineral Mining,n.p.
4150,IOPC 09900030,
4151,Gypsum; anhydrite; calcareous stone of a kind used for the manufacture of lime or cement (excluding limestone),
4155,0901 Non Metallic Mineral Mining,31
4180,IOPC 09900040,
4181,Silica,
4185,0901 Non Metallic Mineral Mining,96
4211,IOPC 09900050,
4212,Natural phosphates and Phosphate rock (unground),
4216,0901 Non Metallic Mineral Mining,48
4241,IOPC 09900060,
4242,Chemical and fertilizer minerals nec,
4246,0901 Non Metallic Mineral Mining,5
4276,IOPC 09900070,
4277,Non-metallic minerals nec,
4281,0901 Non Metallic Mineral Mining,n.p.
4310,IOPC 10110010,
4311,Petroleum exploration,
4315,1001 Exploration and Mining Support Services,n.p.
4331,IOPC 10120010,
4332,Mineral exploration,
4336,1001 Exploration and Mining Support Services,n.p.
4352,IOPC 10900010,
4353,Mining services nec,
4357,0601 Coal mining,"3,015"
4358,0701 Oil and gas extraction,573
4359,0801 Iron Ore Mining,26
4360,0802 Non Ferrous Metal Ore Mining,29
4361,0901 Non Metallic Mineral Mining,33
4362,1001 Exploration and Mining Support Services,"11,140"
4379,IOPC 10901980,
4380,General government consumption of fixed capital (1011-1090),
4384,1001 Exploration and Mining Support Services,30
4400,IOPC 11110010,
4401,"Fresh meat, chilled or frozen (excl kangaroo or horse meat, other than for human consumption)",
4405,"0101 Sheep, Grains, Beef and Dairy Cattle",196
4406,0102 Poultry and Other Livestock,26
4407,0103 Other Agriculture,77
4408,1101 Meat and Meat product Manufacturing,"10,226"
4409,3301 Wholesale Trade,586
4410,3901 Retail Trade,"1,260"
4447,IOPC 11110020,
4448,"Fresh kangaroo or horse meat, other than for human consumption",
4452,1101 Meat and Meat product Manufacturing,20
4470,IOPC 11110030,
4471,"Casings, bungs, weasands and runners (incl gut materials for further processing)",
4475,1101 Meat and Meat product Manufacturing,721
4497,IOPC 11110040,
4498,Edible offals (excl poultry offals),
4502,1101 Meat and Meat product Manufacturing,483
4521,IOPC 11110050,
4522,Edible tallow (excl refined),
4526,1101 Meat and Meat product Manufacturing,72
4549,IOPC 11110060,
4550,Inedible tallow (excl refined) and other unrefined animal oils and fats,
4554,1101 Meat and Meat product Manufacturing,371
4572,IOPC 11110070,
4573,Raw hides and skins,
4577,1101 Meat and Meat product Manufacturing,412
4596,IOPC 11110080,
4597,Meat (excl fresh) for human consumption,
4601,1101 Meat and Meat product Manufacturing,46
4602,3301 Wholesale Trade,9
4603,3901 Retail Trade,22
4623,IOPC 11110090,
4624,Blood meal (milled or screened dried blood) for use as stock or poultry feed,
4628,1101 Meat and Meat product Manufacturing,30
4652,IOPC 11110100,
4653,"Inedible meat or meat offal flours, meals and pellets; greaves",
4657,1101 Meat and Meat product Manufacturing,149
4677,IOPC 11110110,
4678,Other animal products nec,
4682,1101 Meat and Meat product Manufacturing,111
4711,IOPC 11120010,
4712,Poultry and poultry products (incl canned),
4716,1101 Meat and Meat product Manufacturing,"3,209"
4717,3901 Retail Trade,381
4754,IOPC 11130010,
4755,"Bacon and ham and other dried, salted or smoked pigmeat (incl canned)",
4759,1101 Meat and Meat product Manufacturing,"1,385"
4760,3301 Wholesale Trade,45
4761,3901 Retail Trade,98
4807,IOPC 11130020,
4808,"Smallgoods nec (incl crumbed lamb cutlets, cured meat (canned or uncanned), frankfurters, saveloys and salami)",
4812,1101 Meat and Meat product Manufacturing,955
4813,3301 Wholesale Trade,62
4814,3901 Retail Trade,135
4855,IOPC 11131700,
4856,Meat and meat products - commission production (1111-1113),
4860,1101 Meat and Meat product Manufacturing,134
4883,IOPC 11200010,
4884,"Fish, canned",
4888,0201 Aquaculture,50
4889,1102 Processed Seafood Manufacturing,164
4918,IOPC 11200021,
4919,"Frozen whole fish, fillets and fish meat; fish loaf, cake, balls and paste; smoked fish; fish fingers; caviar",
4923,0201 Aquaculture,30
4924,"0401 Fishing, hunting and trapping",15
4925,1102 Processed Seafood Manufacturing,77
4926,3301 Wholesale Trade,16
4964,IOPC 11200022,
4965,"Fresh or chilled whole cleaned fish, fillets and fish meat",
4969,0201 Aquaculture,188
4970,"0401 Fishing, hunting and trapping",69
4971,1102 Processed Seafood Manufacturing,612
4972,3301 Wholesale Trade,120
4986,IOPC 11200030,
4987,"Rock lobster and crayfish (incl tails), chilled or frozen (incl boiled and frozen)",
4991,"0401 Fishing, hunting and trapping",8
4992,1102 Processed Seafood Manufacturing,347
4993,3301 Wholesale Trade,30
5013,IOPC 11200040,
5014,"Crustaceans, molluscs & aquatic invertebrates nec (chilled, frozen, preserved or otherwise prepared)",
5018,"0401 Fishing, hunting and trapping",75
5019,1102 Processed Seafood Manufacturing,346
5020,3301 Wholesale Trade,58
5061,IOPC 11200050,
5062,"Inedible flours, meals, pellets & other products nec of fish, crustaceans & molluscs or other aquatic invertebrates",
5066,1102 Processed Seafood Manufacturing,32
5093,IOPC 11201700,
5094,Processed seafood - commission production,
5098,1102 Processed Seafood Manufacturing,1
5115,IOPC 11201980,
5116,General government consumption of fixed capital (1120),
5136,IOPC 11310010,
5137,Processed liquid milk (incl whole milk and skim),
5141,1103 Dairy Product Manufacturing,"2,023"
5185,IOPC 11310020,
5186,"Cream (incl thickened), not concentrated or sweetened",
5190,1103 Dairy Product Manufacturing,140
5219,IOPC 11320010,
5220,Ice cream and frozen confections,
5224,1103 Dairy Product Manufacturing,"1,126"
5225,3301 Wholesale Trade,15
5270,IOPC 11330010,
5271,Flavoured whole milk drinks,
5275,1103 Dairy Product Manufacturing,840
5311,IOPC 11330020,
5312,"Sour cream, yoghurt and other cultured milk products",
5316,1103 Dairy Product Manufacturing,786
5340,IOPC 11330031,
5341,Buttermilk (excl cultured),
5345,1103 Dairy Product Manufacturing,212
5367,IOPC 11330032,
5368,Powdered skim milk,
5372,1103 Dairy Product Manufacturing,360
5391,IOPC 11330040,
5392,Fats and oils derived from milk (incl butter oil); casein,
5396,1103 Dairy Product Manufacturing,590
5421,IOPC 11330050,
5422,Butter,
5426,1103 Dairy Product Manufacturing,517
5427,3301 Wholesale Trade,7
5462,IOPC 11330060,
5463,Cheese and curd,
5467,1103 Dairy Product Manufacturing,"2,484"
5468,3301 Wholesale Trade,42
5531,IOPC 11330070,
5532,Milk based food preparations (excluding malt extracts) and dried milk based mixes,
5536,1103 Dairy Product Manufacturing,"1,296"
5577,IOPC 11330080,
5578,"Milk and cream, concentrated or sweetened; lactose and lactose syrup; products of natural milk constituents nec",
5582,1103 Dairy Product Manufacturing,"1,288"
5610,IOPC 11331700,
5611,Dairy products - commission production (1131-1133),
5615,1103 Dairy Product Manufacturing,3
5633,IOPC 11400010,
5634,Jams,
5638,1104 Fruit and Vegetable Product Manufacturing,154
5661,IOPC 11400020,
5662,"Fruit juices, single strength or concentrated",
5666,1104 Fruit and Vegetable Product Manufacturing,"1,161"
5698,IOPC 11400030,
5699,Dried fruit (excl sun-dried),
5703,1104 Fruit and Vegetable Product Manufacturing,239
5729,IOPC 11400040,
5730,Preserved fruit and fruit products nec,
5734,1104 Fruit and Vegetable Product Manufacturing,566
5767,IOPC 11400050,
5768,"Vegetables, frozen",
5772,1104 Fruit and Vegetable Product Manufacturing,"1,001"
5803,IOPC 11400060,
5804,"Vegetables, prepared or preserved (incl dried or shelled)(excl frozen); pickles and chutney",
5808,1104 Fruit and Vegetable Product Manufacturing,562
5836,IOPC 11400070,
5837,"Tomato pulp, puree and paste",
5841,1104 Fruit and Vegetable Product Manufacturing,124
5869,IOPC 11400080,
5870,"Mixed meat and vegetables, canned",
5874,1104 Fruit and Vegetable Product Manufacturing,27
5897,IOPC 11400090,
5898,Vegetable juices (incl mixtures)(incl tomato); mixtures of vegetable and fruit juices,
5902,1104 Fruit and Vegetable Product Manufacturing,98
5930,IOPC 11400100,
5931,"Pasta products, canned",
5935,1104 Fruit and Vegetable Product Manufacturing,86
5961,IOPC 11400110,
5962,"Soup and homogenised food preparations including fruit, vegetables, meat or composites thereof",
5966,1104 Fruit and Vegetable Product Manufacturing,322
5986,IOPC 11400120,
5987,Sauces (excl worcestershire and apple); vinegar (excl wine vinegar),
5991,1104 Fruit and Vegetable Product Manufacturing,470
6018,IOPC 11400130,
6019,"Fresh vegetable salads, in plastic containers",
6023,1104 Fruit and Vegetable Product Manufacturing,117
6042,IOPC 11400140,
6043,"Fruit and vegetable based health, invalid or baby preparations",
6047,1104 Fruit and Vegetable Product Manufacturing,123
6066,IOPC 11400150,
6067,"Dried roots, tubers and vegetables; Flour and meal of vegetables nec.",
6071,1104 Fruit and Vegetable Product Manufacturing,34
6097,IOPC 11401700,
6098,Fruit and vegetable products - commission production,
6102,1104 Fruit and Vegetable Product Manufacturing,5
6121,IOPC 11500010,
6122,"Crude soya bean, cotton seed, peanut, sunflower, safflower, rape seed, coconut and vegetable oils",
6126,1105 Oils and Fats Manufacturing,367
6154,IOPC 11500020,
6155,"Refined and processed animal or vegetable oils and fats (incl tallow) (excl neatsfoot, wool grease and lanolin)",
6159,1105 Oils and Fats Manufacturing,708
6196,IOPC 11500030,
6197,Margarine,
6201,1105 Oils and Fats Manufacturing,374
6226,IOPC 11500040,
6227,"Oil-cake, acid oils, cotton linters and other solid residues resulting from the extraction or refining of vegetable fats or oils",
6231,1105 Oils and Fats Manufacturing,103
6256,IOPC 11501700,
6257,Oils and fats - commission production,
6261,1105 Oils and Fats Manufacturing,12
6282,IOPC 11610010,
6283,Wheat and other cereal flours (incl self-raising),
6287,1106 Grain Mill and Cereal Product Manufacturing,989
6333,IOPC 11610020,
6334,"Flour mill products nec, for human consumption",
6338,1106 Grain Mill and Cereal Product Manufacturing,52
6362,IOPC 11610030,
6363,Wheat bran for human consumption (excl for breakfast food),
6367,1106 Grain Mill and Cereal Product Manufacturing,9
6385,IOPC 11610040,
6386,Starch of wheat and corn,
6390,1106 Grain Mill and Cereal Product Manufacturing,133
6416,IOPC 11610050,
6417,"Glucose, glucose syrup (incl dextrose) and modified starches (incl dextrins)",
6421,1106 Grain Mill and Cereal Product Manufacturing,106
6447,IOPC 11610060,
6448,Wheat gluten and tapioca,
6452,1106 Grain Mill and Cereal Product Manufacturing,224
6475,IOPC 11610070,
6476,Prepared baking powders,
6480,1106 Grain Mill and Cereal Product Manufacturing,160
6507,IOPC 11610080,
6508,Malt (excl malt extract),
6512,1106 Grain Mill and Cereal Product Manufacturing,539
6529,IOPC 11610090,
6530,Malt extract,
6534,1106 Grain Mill and Cereal Product Manufacturing,5
6554,IOPC 11610100,
6555,"Rice (husked, semi-milled or wholly milled)",
6559,1106 Grain Mill and Cereal Product Manufacturing,177
6593,IOPC 11610110,
6594,"Rice groats, meals and pellets; other worked cereal grains and products nec;",
6598,1106 Grain Mill and Cereal Product Manufacturing,406
6628,IOPC 11620010,
6629,Cereal foods (incl breakfast foods),
6633,1106 Grain Mill and Cereal Product Manufacturing,"1,286"
6668,IOPC 11620020,
6669,Mixes and doughs nec (incl custard powder) for preparation of bakers wares (excl frozen),
6673,1106 Grain Mill and Cereal Product Manufacturing,88
6703,IOPC 11620030,
6704,Pasta,
6708,1106 Grain Mill and Cereal Product Manufacturing,448
6739,IOPC 11621700,
6740,Grain mill and cereal products - commission production (1161-1162),
6744,1106 Grain Mill and Cereal Product Manufacturing,8
6761,IOPC 11700010,
6762,Bread and bread rolls,
6766,1107 Bakery Product Manufacturing,"2,801"
6767,3901 Retail Trade,279
6818,IOPC 11700020,
6819,Biscuits and biscuit crumbs; rusks; ice cream cones and wafers; unleavened bread,
6823,1107 Bakery Product Manufacturing,n.p.
6824,3901 Retail Trade,n.p.
6880,IOPC 11700030,
6881,"Cakes, pastries and crumpets",
6885,1107 Bakery Product Manufacturing,"1,400"
6886,3901 Retail Trade,168
6979,IOPC 11700040,
6980,Meat pies,
6984,1107 Bakery Product Manufacturing,n.p.
6985,3901 Retail Trade,n.p.
7019,IOPC 11700050,
7020,Biscuit and bread dough (incl frozen),
7024,1107 Bakery Product Manufacturing,98
7044,IOPC 11701700,
7045,Bakery products - commission production (1171-1174),
7049,1107 Bakery Product Manufacturing,4
7067,IOPC 11810010,
7068,Raw and refined sugar in solid form (incl brown sugar)(excl icing sugar),
7072,1108 Sugar and Confectionery Manufacturing,"2,648"
7135,IOPC 11810020,
7136,"Icing sugar, molasses (incl treacle) and sugar nec",
7140,1108 Sugar and Confectionery Manufacturing,287
7170,IOPC 11810030,
7171,"Liquid refined sugar, golden syrup, artificial honey, starch and sugar products nec",
7175,1108 Sugar and Confectionery Manufacturing,226
7203,IOPC 11820010,
7204,Chocolate confectionery (excl chocolate coated biscuits and white chocolate),
7208,1108 Sugar and Confectionery Manufacturing,"2,273"
7209,3901 Retail Trade,72
7242,IOPC 11820020,
7243,"Cocoa beans (roasted); cocoa paste, powder, butter, fat or oil",
7247,1108 Sugar and Confectionery Manufacturing,15
7269,IOPC 11820030,
7270,Other food preparations containing cocoa (excl chocolate confectionery),
7274,1108 Sugar and Confectionery Manufacturing,115
7275,3901 Retail Trade,18
7296,IOPC 11820040,
7297,"Chewing gum, white chocolate and other confectionery not containing cocoa",
7301,1108 Sugar and Confectionery Manufacturing,"1,176"
7302,3901 Retail Trade,23
7329,IOPC 11820050,
7330,"Crystallised, drained and glace fruit, nuts and peel",
7334,1108 Sugar and Confectionery Manufacturing,18
7335,3901 Retail Trade,1
7352,IOPC 11821700,
